fund_name,ticker,date,security_name,CUSIP,price,quantity,clean_mkt_value,dirty_mkt_value,ptf_weight
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Apple Inc. 3.75% 12-sep-2047,037833DD,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Apple Inc. 3.75% 13-nov-2047,037833DG,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Apple Inc. 3.85% 04-aug-2046,037833CD,NA,350000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Apple Inc. 4.25% 09-feb-2047,037833CH,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Astrazeneca Plc 1.75% 16-nov-2018,046353AH,NA,100000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Astrazeneca Plc 2.375% 12-jun-2022,046353AQ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Astrazeneca Plc 3.375% 16-nov-2025,046353AL,NA,175000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Astrazeneca Plc 3.5% 17-aug-2023,046353AR,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Astrazeneca Plc 4.0% 17-jan-2029,046353AT,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Astrazeneca Plc 4.375% 16-nov-2045,046353AM,NA,100000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,At&t Inc. 3.9% 14-aug-2027,00206REM,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,At&t Inc. 4.25% 01-mar-2027,00206RDQ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,At&t Inc. 4.35% 01-mar-2029,00206RHJ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,At&t Inc. 4.35% 15-jun-2045,00206RBK,94.13700104,130000,122378.0957,123100.679,0.567583159
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,At&t Inc. 4.5% 09-mar-2048,00206RDJ,NA,275000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,At&t Inc. 4.85% 01-mar-2039,00206RHK,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,At&t Inc. 4.9% 14-aug-2037,00206REN,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,At&t Inc. 5.15% 14-feb-2050,00206REP,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,At&t Inc. 5.15% 15-nov-2046,00206RFM,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,At&t Inc. 5.25% 01-mar-2037,00206RDR,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,At&t Inc. 5.3% 14-aug-2058,00206REQ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,At&t Inc. 5.45% 01-mar-2047,00206RDS,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,At&t Inc. Frn 12-jun-2024,00206RGD,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Axa Equitable Holdings, Inc. 5.0% 20-apr-2048",054561AK,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,B.a.t. Capital Corp. 2.297% 14-aug-2020,05526DAQ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,B.a.t. Capital Corp. 2.297% 14-aug-2020,05526DAR,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,B.a.t. Capital Corp. 2.764% 15-aug-2022,05526DAU,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,B.a.t. Capital Corp. 2.764% 15-aug-2022,05526DAV,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,B.a.t. Capital Corp. 3.222% 15-aug-2024,05526DAY,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,B.a.t. Capital Corp. 3.222% 15-aug-2024,05526DAZ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,B.a.t. Capital Corp. 3.557% 15-aug-2027,05526DBA,NA,NA,NA,NA,0
